a	b	label
18	3656	1
6	7906	1
42	2376	1
8	19168	-1
16	15527	-1
31	9635	-1
2	7008	-1
6	22863	-1
21	22881	-1
46	16824	1
2	12517	-1
16	29429	1
14	230	-1
15	7345	-1
7	10033	-1
18	9375	-1
36	25693	-1
40	2117	-1
48	22322	-1
34	22908	-1
46	22149	1
22	25761	-1
46	15399	1
41	18703	-1
14	18272	-1
30	19554	-1
37	29957	-1
13	15629	-1
22	9211	-1
36	9223	-1
39	26238	-1
6	21859	1
8	2539	1
47	31082	-1
17	9232	1
21	13817	1
25	15648	1
4	8306	1
4	393	-1
46	25034	1
28	21457	1
9	18676	-1
46	435	-1
28	10537	1
35	27326	1
6	3248	-1
16	27451	1
13	22651	1
18	20859	1
35	702	-1
4	7087	-1
42	25145	-1
43	1263	1
4	15132	1
21	27020	-1
39	273	-1
36	13781	1
6	22485	-1
20	13995	-1
22	3709	-1
41	23238	-1
17	19075	-1
4	23040	-1
8	26598	-1
21	3643	-1
18	18950	1
42	9751	1
13	8687	-1
9	19306	1
4	20701	1
8	20270	-1
29	24489	-1
46	760	-1
36	19749	1
5	30487	1
4	11140	-1
44	23082	-1
49	30703	-1
37	25979	-1
32	9113	-1
17	22971	-1
46	9196	1
13	26326	-1
28	18322	-1
0	21898	-1
44	19933	-1
6	6727	1
4	4030	-1
41	3502	1
4	15250	1
30	29101	1
49	24742	1
28	18900	1
16	4588	-1
43	17154	1
29	30080	1
4	19177	-1
42	18585	-1
23	29843	1
17	21292	1
42	16941	1
5	25034	-1
9	28027	1
18	9913	1
10	5168	-1
17	17254	1
32	8362	1
40	6359	1
10	16170	1
37	1838	1
17	10983	-1
5	24277	-1
14	20130	1
33	13202	-1
19	6125	-1
43	23101	1
36	10195	-1
49	16592	-1
43	683	-1
43	21802	1
31	1734	-1
22	18833	-1
26	12325	1
5	19630	1
21	28721	1
42	6961	1
23	2835	1
44	14131	1
36	19237	1
23	21881	1
29	23095	-1
21	6335	-1
25	2575	-1
17	12338	1
13	12462	-1
42	3614	-1
10	27254	1
45	26109	-1
40	25477	1
0	22007	1
15	15203	-1
40	3148	-1
48	3609	-1
29	24969	-1
39	9865	1
39	23473	-1
8	2013	1
4	30684	1
11	11612	-1
37	16346	1
32	21602	-1
31	1406	-1
43	6400	1
18	30544	-1
38	2345	-1
29	16964	1
17	15331	1
47	4063	-1
40	13763	1
34	13146	-1
39	25191	1
18	6281	1
49	18942	-1
48	24310	1
9	22022	-1
40	23759	-1
32	17177	-1
44	17353	1
10	4880	-1
42	1286	-1
43	23549	1
46	28744	1
18	2677	-1
37	22439	1
35	17441	-1
29	23404	-1
28	10710	-1
16	6273	-1
40	11865	-1
44	29512	1
9	26763	1
30	14242	-1
32	1666	-1
27	11641	-1
7	29404	-1
3	8963	-1
32	13411	-1
42	3579	-1
21	1858	1
23	11733	-1
8	7713	1
1	10018	-1
40	8208	1
7	21578	1
15	16541	1
48	10025	1
21	2156	-1
13	29317	1
39	5995	1
9	24257	-1
42	15032	1
43	727	-1
48	30142	1
17	28637	-1
10	8155	-1
48	2725	1
30	13067	-1
32	30572	-1
48	13898	1
31	9132	-1
1	14698	1
30	22163	-1
2	15845	-1
13	2832	1
39	17140	-1
37	12989	-1
8	12037	1
47	5952	-1
13	22650	1
7	25761	1
18	9050	-1
49	2219	1
23	24665	1
35	10909	1
28	1991	1
7	8808	-1
42	469	1
14	11176	-1
6	15228	-1
48	30443	-1
49	25342	1
41	520	1
11	20353	-1
32	14450	1
8	15728	1
45	666	-1
32	3290	1
38	4544	-1
46	21580	1
46	28304	1
23	14491	1
27	3945	1
37	4298	1
37	21635	1
17	18993	-1
30	2895	-1
32	9003	-1
41	28287	-1
26	24030	-1
48	5334	1
2	29948	-1
16	2402	-1
30	13776	-1
32	23547	-1
45	19014	1
18	1982	1
13	7266	1
28	12607	-1
20	15284	-1
7	6632	-1
3	19568	-1
48	28210	1
17	26512	-1
7	26904	-1
25	24068	1
40	22302	1
24	19955	-1
8	20306	1
10	4798	-1
35	25365	1
36	15614	1
33	18772	-1
44	26815	1
45	3957	-1
42	26482	1
8	1669	1
31	21576	-1
49	15964	1
1	17275	1
13	30037	-1
18	27188	1
6	19436	1
41	8060	-1
17	21287	-1
38	18096	-1
16	27298	-1
32	26142	1
18	31014	-1
23	27081	-1
23	29817	-1
25	14919	-1
17	12337	-1
9	25965	1
34	18991	-1
15	8757	1
30	1197	1
45	3747	-1
46	23370	1
5	6349	1
2	27570	-1
21	23830	-1
24	8006	-1
14	27579	-1
32	9248	-1
28	387	-1
48	21582	1
47	30246	-1
8	18508	1
46	29278	-1
45	6548	-1
47	1382	-1
7	3012	1
43	15366	1
36	15320	-1
31	2402	1
35	19310	-1
29	16911	1
0	459	-1
35	26044	-1
7	4756	1
48	22551	1
1	11592	-1
12	1892	-1
20	10861	-1
3	27818	-1
43	30230	1
25	22430	-1
17	19088	1
42	26161	-1
42	3304	1
15	19925	-1
5	28722	-1
15	10520	-1
47	11345	-1
21	284	-1
19	23660	-1
9	583	1
5	5713	-1
35	29785	1
34	21373	-1
25	20816	-1
8	20300	1
5	26110	-1
24	28558	-1
31	10729	1
28	27168	1
31	5951	-1
14	96	-1
45	13785	-1
17	22625	1
39	14889	1
28	4581	1
43	7910	1
42	22422	1
11	10666	-1
26	2448	-1
43	6463	-1
8	15514	1
29	13751	1
46	28260	1
43	21027	1
8	15949	1
37	13701	1
3	29582	-1
45	16244	1
18	2959	1
26	24883	-1
23	6035	-1
13	7045	1
20	14260	-1
38	26400	-1
1	11160	1
0	27969	1
44	29746	1
39	25503	1
40	23134	1
36	10482	-1
49	9176	-1
21	20637	1
40	11056	-1
4	7731	-1
8	8251	1
0	29564	-1
21	13915	1
3	16535	-1
40	6635	1
45	23309	-1
46	20444	1
49	10561	-1
41	28181	1
48	3587	-1
44	20215	1
34	9927	-1
46	23311	1
46	26926	-1
35	22836	1
6	14754	1
3	5381	-1
26	491	-1
29	14316	-1
7	18166	1
48	16517	1
6	24695	1
8	29987	-1
9	6453	1
1	8412	1
10	15886	-1
43	1916	1
27	9308	-1
40	24274	-1
4	19180	1
11	17939	-1
42	19988	-1
37	5515	-1
32	1308	-1
30	28567	1
11	1768	-1
30	8318	1
3	19894	-1
4	89	1
36	6701	-1
23	3402	-1
6	6449	-1
44	19453	1
23	21828	-1
43	28700	1
44	21181	-1
38	11569	1
46	6897	1
19	19009	-1
19	14824	-1
42	7084	1
13	17050	1
32	15383	-1
6	10406	1
16	18331	1
17	3883	1
36	19471	-1
28	19398	-1
46	11609	1
5	30797	1
7	26452	1
29	24291	1
33	8450	-1
8	17360	1
4	6472	-1
26	11674	1
19	4847	-1
39	3663	1
8	5059	1
46	27250	1
40	19360	-1
49	18139	-1
36	28777	1
4	7175	-1
44	30196	1
7	9168	-1
48	15472	1
29	11842	1
13	18973	-1
37	6883	-1
33	12150	-1
34	912	-1
25	24382	-1
1	30653	1
26	2469	-1
40	21170	-1
46	12273	1
5	9080	1
6	6450	-1
40	28211	1
26	21336	1
15	8675	-1
2	13499	-1
48	8633	-1
24	10559	-1
8	17192	-1
40	19112	1
24	53	-1
6	1104	-1
28	18914	1
5	16357	1
45	24818	-1
17	3850	1
13	27769	1
34	18218	-1
2	3360	-1
39	30403	1
2	3408	-1
45	5930	1
28	15848	1
5	2791	1
40	14180	1
19	2127	-1
13	13464	-1
27	4236	-1
45	6038	1
23	19525	1
48	27071	1
31	30228	-1
10	15347	1
42	25944	-1
12	2025	-1
20	1745	-1
17	7929	-1
13	22672	1
8	5607	1
37	7371	-1
9	1321	-1
14	26723	-1
17	18677	-1
5	2046	-1
5	14528	1
40	437	1
47	25602	-1
17	12045	1
9	6102	1
22	17824	-1
10	13204	1
4	13984	-1
17	28110	1
49	15774	-1
1	23781	1
30	6648	1
39	26197	-1
17	18504	1
2	28886	-1
41	6947	-1
21	7871	-1
13	15296	1
46	22072	1
28	10981	1
47	10330	-1
8	633	1
0	25558	-1
18	21339	-1
16	19074	-1
42	23750	1
33	23291	-1
7	5986	-1
23	7664	1
32	20653	-1
31	29417	-1
48	23222	1
41	634	1
4	5016	1
14	18499	-1
21	22087	1
39	12406	-1
43	29158	-1
46	772	1
19	18984	-1
19	9646	-1
17	10744	1
18	3467	1
45	17959	-1
40	25854	-1
46	10012	1
46	18153	1
32	27603	1
26	8339	1
11	27490	-1
46	30905	-1
48	17624	1
15	3598	-1
1	28653	-1
6	4027	1
15	22370	-1
40	24700	1
23	26381	1
22	26342	-1
13	6844	1
40	5543	-1
48	22194	-1
13	11003	1
1	11481	-1
13	29956	1
31	7620	-1
20	20638	-1
17	624	-1
13	697	1
7	14960	1
42	18133	-1
24	13733	-1
10	4562	1
46	1905	1
49	19940	-1
43	6195	1
31	14559	-1
43	1793	1
43	18978	1
40	10741	1
39	16170	-1
8	12266	1
44	9290	-1
46	11719	1
44	6	1
15	27453	-1
35	18215	1
43	3789	1
34	28118	-1
1	26698	-1
0	30051	1
18	9910	-1
39	26848	1
28	8170	1
35	30864	1
11	22314	-1
46	23287	1
37	22588	1
43	5041	1
2	769	-1
28	16151	-1
46	20634	1
28	20049	1
19	22706	-1
16	7704	1
24	12254	-1
36	9285	-1
6	23351	-1
8	11501	1
48	4801	1
26	20106	-1
23	14953	1
26	30573	-1
16	8803	1
48	30581	1
8	652	-1
21	21306	-1
17	29819	1
37	15363	-1
17	3855	1
21	30595	-1
36	26849	1
1	952	-1
4	18870	-1
6	8243	1
43	931	1
46	7846	-1
46	4441	1
17	5989	-1
45	26269	1
21	10937	-1
2	16702	-1
6	8503	-1
0	26783	-1
7	27718	-1
25	11700	1
40	7666	-1
41	6749	1
24	25168	1
22	30161	-1
48	12502	1
45	25593	1
8	29571	1
5	3402	1
42	29835	1
48	9077	1
21	16678	1
35	29023	1
5	10217	1
8	1250	-1
43	18684	1
45	17231	1
9	23022	-1
19	4835	-1
3	23356	1
1	5053	1
4	4042	1
32	8947	-1
43	19373	1
16	12892	1
26	9627	1
43	17969	1
43	10608	-1
14	8294	1
2	28107	-1
25	15325	1
22	7597	-1
47	11888	-1
47	1529	1
46	22044	1
21	14995	-1
13	8595	1
48	19243	-1
24	25914	-1
35	29548	-1
9	17443	-1
15	12793	-1
9	27713	-1
4	7971	1
6	1787	-1
45	27617	1
0	1228	-1
30	5503	1
47	23915	-1
12	11005	-1
25	20428	-1
31	1348	-1
33	15741	-1
6	10042	1
48	19455	-1
48	21869	1
5	22276	1
48	23852	-1
18	12354	-1
6	20537	1
36	10607	-1
0	15256	-1
42	24738	1
4	9086	1
40	23584	1
36	17099	-1
49	19323	1
31	14376	-1
17	17351	1
44	11986	1
41	378	1
5	12857	1
43	17830	-1
43	11601	1
31	8116	-1
48	8393	1
42	7240	1
41	7147	-1
34	24011	-1
46	7620	1
38	18872	-1
4	18875	1
42	19423	1
29	125	-1
14	30797	-1
4	14127	1
49	11214	1
13	27055	1
2	6868	-1
16	14294	1
46	29190	1
16	27219	1
28	18458	-1
44	4232	1
43	31043	1
30	30708	-1
48	301	-1
48	8078	1
48	29867	1
9	23587	-1
30	22465	-1
18	28132	1
13	11391	-1
8	3974	1
23	23464	-1
46	24781	1
23	20141	-1
35	16428	-1
26	3268	-1
16	14051	1
29	13031	-1
36	21571	-1
46	1414	1
39	28509	1
14	17900	-1
8	10636	-1
1	7613	-1
17	21601	-1
5	10006	-1
1	6614	1
34	30838	-1
45	28837	-1
17	30404	1
46	23153	1
38	1949	-1
29	15588	1
43	30416	1
39	29108	-1
18	699	1
14	24033	1
5	29626	1
39	2549	-1
49	3871	1
45	2350	1
38	20656	1
23	30512	-1
23	17988	1
28	2533	1
4	1721	1
7	11216	1
32	30889	-1
43	4105	1
4	10509	1
13	18013	1
29	15203	-1
13	15591	1
33	10170	-1
9	27345	1
32	25739	1
29	17273	1
5	11945	1
13	29094	1
8	26533	1
17	1324	-1
6	4883	1
46	30492	1
34	9438	-1
13	20967	1
38	24070	-1
13	3126	1
19	24229	-1
35	18064	1
8	29639	1
25	16676	-1
16	4807	1
5	18760	-1
48	10006	1
43	12601	1
4	23880	1
3	9830	1
26	30587	-1
4	24593	1
48	14234	1
41	7133	-1
36	11230	1
40	13650	-1
21	8543	1
39	21836	1
23	7314	1
46	13090	-1
43	11930	1
16	21049	1
6	23958	-1
28	14373	1
48	819	1
46	21773	1
5	18288	1
29	12055	-1
29	25927	-1
16	5685	1
28	29401	1
5	30190	1
16	29795	1
37	24635	1
32	3515	-1
6	25726	-1
48	12535	1
31	20593	-1
10	26641	1
24	21601	-1
35	15404	1
47	23806	-1
48	28140	-1
46	16	1
28	27892	-1
41	13936	1
28	8837	-1
46	7402	1
26	4334	-1
27	8272	1
20	16808	1
43	12271	1
5	26573	-1
43	14150	1
13	21607	1
42	24648	-1
37	14274	-1
11	15974	-1
0	14948	-1
12	25162	1
42	21680	1
48	5926	-1
48	29531	1
13	25523	1
12	3480	-1
29	4638	-1
16	17705	1
13	25474	1
40	12041	-1
37	9194	-1
5	19522	-1
29	12705	1
13	7111	1
19	3433	-1
44	27051	-1
49	16325	-1
0	28898	-1
4	26698	1
42	30763	1
15	7501	1
21	8401	1
40	3405	-1
24	6776	-1
49	13613	-1
43	16133	1
44	28859	1
6	16739	1
31	21283	1
48	4974	1
13	24273	-1
13	26310	1
10	30604	-1
28	22983	1
0	1859	-1
49	25642	-1
8	771	1
43	5098	1
28	9562	-1
15	25465	-1
14	2727	1
19	27425	-1
18	22338	1
10	28236	1
13	5019	1
40	29113	1
1	13596	1
37	2696	1
42	6025	1
8	6242	1
45	8722	-1
46	29486	1
18	30265	-1
35	11428	1
22	20293	-1
36	877	-1
11	30197	-1
22	17644	1
10	13438	1
1	26223	-1
13	25883	1
42	23898	1
22	24719	-1
4	16920	1
4	26032	1
47	740	-1
43	9726	1
42	8073	1
9	5620	1
41	6504	-1
39	20140	1
8	18971	1
6	15331	-1
10	5523	1
22	21337	-1
26	7235	-1
19	27482	-1
48	29238	-1
13	22342	1
27	605	1
45	28822	-1
39	10058	1
43	20280	1
30	12742	1
6	19836	1
38	3186	-1
14	29127	-1
17	1461	-1
11	7414	-1
37	30342	1
27	21976	-1
40	27384	-1
35	14865	1
30	12073	-1
8	12139	1
43	5546	1
17	30955	-1
23	9528	-1
44	26799	1
49	17838	-1
42	4218	1
49	24324	-1
17	27820	1
16	19180	-1
6	28687	-1
12	18004	-1
8	3306	1
22	14990	-1
27	28435	-1
28	1108	1
30	18950	1
22	741	-1
8	11353	1
6	11774	1
19	10556	-1
6	4009	1
21	5167	-1
8	30590	1
13	28421	1
9	26313	-1
43	28051	1
6	28105	1
42	9939	1
14	28319	-1
48	20660	1
46	16219	1
29	3019	-1
17	18807	1
25	21534	-1
40	10504	1
23	15507	-1
5	19656	-1
9	20355	1
20	9876	-1
18	25007	-1
36	26018	-1
47	707	-1
37	21905	-1
43	15783	1
47	15714	-1
37	15084	-1
43	16234	1
35	14322	-1
7	3311	1
7	18937	1
40	7853	1
46	25396	1
20	11515	-1
23	7915	-1
4	19240	1
22	16195	-1
13	8054	1
49	25408	-1
0	20746	-1
27	25602	-1
43	19426	1
30	12395	-1
25	19184	-1
28	3707	1
43	26761	1
21	7498	-1
48	12310	1
9	23845	-1
4	22823	1
23	20274	1
13	8102	1
37	13129	-1
6	26085	1
49	1333	1
13	24700	1
13	6139	1
4	4936	-1
40	23037	1
6	3168	1
43	10383	1
0	529	1
45	652	1
3	6041	-1
48	5093	-1
17	4186	1
40	24857	1
27	1796	-1
44	27708	1
45	26066	1
28	4364	1
5	7068	1
44	15689	-1
13	4491	1
11	16803	-1
7	20927	-1
48	19961	-1
43	10040	1
7	9	-1
41	22954	1
44	15205	-1
46	12495	1
37	5902	-1
15	20967	-1
41	15563	-1
48	30800	1
17	11129	1
26	15290	-1
24	20139	-1
7	26625	1
36	9247	1
25	18993	-1
46	22843	1
3	597	-1
8	13925	1
33	21803	-1
1	4481	-1
49	7145	-1
16	20427	1
29	20152	-1
36	17940	-1
35	607	-1
42	28601	-1
45	8408	-1
1	25481	1
7	9112	-1
5	27745	-1
33	15160	-1
46	6206	1
10	19628	1
21	1643	-1
46	10562	1
30	6955	-1
4	16855	1
7	12510	1
23	7986	-1
32	15408	1
9	6684	-1
43	25871	1
39	23835	-1
14	29803	-1
20	27835	-1
44	109	1
24	15061	-1
18	4309	-1
43	30368	1
21	3723	1
10	17570	-1
12	30717	-1
9	16413	-1
3	14903	-1
43	10575	1
27	24783	-1
43	12069	1
16	22812	1
23	7926	-1
36	9002	-1
28	16434	1
25	13016	-1
35	22592	1
40	8159	1
18	5344	-1
26	13844	-1
9	21710	1
33	18043	-1
48	30125	-1
10	29334	1
13	8927	1
30	21096	1
40	5637	-1
40	21605	-1
43	14551	1
33	14326	-1
6	12695	1
2	7017	-1
42	6163	1
6	17863	1
1	12812	1
11	14883	-1
4	30360	1
8	7716	1
35	24019	-1
33	24784	-1
9	6217	1
17	19704	1
44	2962	1
44	17863	1
48	11844	1
26	1683	-1
28	293	-1
21	6160	1
12	16398	-1
6	17004	1
43	26173	1
4	1363	1
